Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
aug,2014,USA,,,,,
aug,2014,USA,Fishing,M,33,N,
aug,2014,SPAIN,Swimming,F,30,N,small shark
aug,2014,USA,Surfing,M,29,N,
aug,2014,USA,Standing,F,,N,
aug,2014,USA,Fishing for sharks,M,,N,Bull shark
aug,2014,USA,Kite boarding,,,N,
aug,2014,AUSTRALIA,Spearfishing,M,31,N,reef shark
aug,2014,USA,Standing,M,,N,Bull shark
aug,2014,USA,,M,26,N,
aug,2014,BAHAMAS,Spearfishing,M,,N,Bull shark
aug,2014,USA,Swimming,F,10,N,
aug,2014,USA,Swimming,M,7,N,Bull shark
aug,2014,USA,Boogie boarding,M,10,N,
aug,2014,USA,Swimming,F,45,N,
aug,2014,USA,Surfing,M,50,N,
